Cell_Index,water_temperature,water_temperature_transport
0,15,15
1,15,15
2,15,15
3,15,15
4,15,15
5,15,15
6,15,15
7,15,15
8,15,15
9,15,15
10,15,15
11,15,15
12,15,15
13,15,15
14,15,15
15,15,15
16,15,15
17,15,15
18,15,15
19,15,15
20,15,15
21,15,15
22,15,15
23,15,15
24,15,15
25,15,15
26,15,15
27,15,15
28,15,15
29,15,15
30,15,15
31,15,15
32,15,15
33,15,15
34,15,15
35,15,15
36,15,15
37,15,15
38,15,15
39,15,15
40,15,15
41,15,15
42,15,15
43,15,15
44,15,15
45,15,15
46,15,15
47,15,15
48,15,15
49,15,15
50,15,15
51,15,15
52,15,15
53,15,15
54,15,15
55,15,15
56,15,15
57,15,15
58,15,15
59,15,15
60,15,15
61,15,15
62,15,15
63,15,15
64,15,15
65,15,15
66,15,15
67,15,15
68,15,15
69,15,15
70,15,15
71,15,15
72,15,15
73,15,15
74,15,15
75,15,15
76,15,15
77,15,15
78,15,15
79,15,15
80,15,15
81,15,15
82,15,15
83,15,15
84,15,15
85,15,15
86,15,15
87,15,15
88,15,15
89,15,15
90,15,15
91,15,15
92,15,15
93,15,15
94,15,15
95,15,15
96,15,15
97,15,15
98,15,15
99,15,15
100,15,15
101,15,15
102,15,15
103,15,15
104,15,15
105,15,15
106,15,15
107,15,15
108,15,15
109,15,15
110,15,15
111,15,15
112,15,15
113,15,15
114,15,15
115,15,15
116,15,15
117,15,15
118,15,15
119,15,15
120,15,15
121,15,15
122,15,15
123,15,15
124,15,15
125,15,15
126,15,15
127,15,15
128,15,15
129,15,15
130,15,15
131,15,15
132,15,15
133,15,15
134,15,15
135,15,15
136,15,15
137,15,15
138,15,15
139,15,15
140,15,15
141,15,15
142,15,15
143,15,15
144,15,15
145,15,15
146,15,15
147,15,15
148,15,15
149,15,15
150,15,15
151,15,15
152,15,15
153,15,15
154,15,15
155,15,15
156,15,15
157,15,15
158,15,15
159,15,15
160,15,15
161,15,15
162,15,15
163,15,15
164,15,15
165,15,15
166,15,15
167,15,15
168,15,15
169,15,15
170,15,15
171,15,15
172,15,15
173,15,15
174,15,15
175,15,15
176,15,15
177,15,15
178,15,15
179,15,15
180,15,15
181,15,15
182,15,15
183,15,15
184,15,15
185,15,15
186,15,15
187,15,15
188,15,15
189,15,15
190,15,15
191,15,15
192,15,15
193,15,15
194,15,15
195,15,15
196,15,15
197,15,15
198,15,15
199,15,15
200,15,15
201,15,15
202,15,15
203,15,15
204,15,15
205,15,15
206,15,15
207,15,15
208,15,15
209,15,15
210,15,15
211,15,15
212,15,15
213,15,15
214,15,15
215,15,15
216,15,15
217,15,15
218,15,15
219,15,15
220,15,15
221,15,15
222,15,15
223,15,15
224,15,15
225,15,15
226,15,15
227,15,15
228,15,15
229,15,15
230,15,15
231,15,15
232,15,15
233,15,15
234,15,15
235,15,15
236,15,15
237,15,15
238,15,15
239,15,15
240,15,15
241,15,15
242,15,15
243,15,15
244,15,15
245,15,15
246,15,15
247,15,15
248,15,15
249,15,15
250,15,15
251,15,15
252,15,15
253,15,15
254,15,15
255,15,15
256,15,15
257,15,15
258,15,15
259,15,15
260,15,15
261,15,15
262,15,15
263,15,15
264,15,15
265,15,15
266,15,15
267,15,15
268,15,15
269,15,15
270,15,15
271,15,15
272,15,15
273,15,15
274,15,15
275,15,15
276,15,15
277,15,15
278,15,15
279,15,15
280,15,15
281,15,15
282,15,15
283,15,15
284,15,15
285,15,15
286,15,15
287,15,15
288,15,15
289,15,15
290,15,15
291,15,15
292,15,15
293,15,15
294,15,15
295,15,15
296,15,15
297,15,15
298,15,15
299,15,15
300,15,15
301,15,15
302,15,15
303,15,15
304,15,15
305,15,15
306,15,15
307,15,15
308,15,15
309,15,15
310,15,15
311,15,15
312,15,15
313,15,15
314,15,15
315,15,15
316,15,15
317,15,15
318,15,15
319,15,15
320,15,15
321,15,15
322,15,15
323,15,15
324,15,15
325,15,15
326,15,15
327,15,15
328,15,15
329,15,15
330,15,15
331,15,15
332,15,15
333,15,15
334,15,15
335,15,15
336,15,15
337,15,15
338,15,15
339,15,15
340,15,15
341,15,15
342,15,15
343,15,15
344,15,15
345,15,15
346,15,15
347,15,15
348,15,15
349,15,15
350,15,15
351,15,15
352,15,15
353,15,15
354,15,15
355,15,15
356,15,15
357,15,15
358,15,15
359,15,15
360,15,15
361,15,15
362,15,15
363,15,15
364,15,15
365,15,15
366,15,15
